, P300S01_145
Muestra, 146
Coef_erp, 146
nohit_precision, 0.8634751773049646
nohit_recall, 0.974
nohit_f1_score, 0.9154135338345866
nohit_support, 1000
hit_precision, 0.6578947368421053
hit_recall, 0.24509803921568626
hit_f1_score, 0.35714285714285715
hit_support, 204
