, P300S01_101
Muestra, 102
Coef_erp, 102
nohit_precision, 0.8463541666666666
nohit_recall, 0.975
nohit_f1_score, 0.9061338289962826
nohit_support, 1000
hit_precision, 0.5192307692307693
hit_recall, 0.1323529411764706
hit_f1_score, 0.2109375
hit_support, 204
