, P300S01_163
Muestra, 164
Coef_erp, 164
nohit_precision, 0.8393162393162393
nohit_recall, 0.982
nohit_f1_score, 0.9050691244239633
nohit_support, 1000
hit_precision, 0.47058823529411764
hit_recall, 0.0784313725490196
hit_f1_score, 0.13445378151260504
hit_support, 204
