, P300S01_128
Muestra, 129
Coef_erp, 129
nohit_precision, 0.870304114490161
nohit_recall, 0.973
nohit_f1_score, 0.9187913125590179
nohit_support, 1000
hit_precision, 0.686046511627907
hit_recall, 0.28921568627450983
hit_f1_score, 0.40689655172413797
hit_support, 204
