, P300S01_106
Muestra, 107
Coef_erp, 107
nohit_precision, 0.8552631578947368
nohit_recall, 0.975
nohit_f1_score, 0.911214953271028
nohit_support, 1000
hit_precision, 0.609375
hit_recall, 0.19117647058823528
hit_f1_score, 0.29104477611940294
hit_support, 204
