, P300S01_146
Muestra, 147
Coef_erp, 147
nohit_precision, 0.8619469026548673
nohit_recall, 0.974
nohit_f1_score, 0.9145539906103287
nohit_support, 1000
hit_precision, 0.6486486486486487
hit_recall, 0.23529411764705882
hit_f1_score, 0.34532374100719426
hit_support, 204
